sample_idx,avg_iou,pred_x1,pred_y1,pred_x2,pred_y2,gt_x1,gt_y1,gt_x2,gt_y2,pred_area,gt_area,size_ratio,error_type
261,0.9095557451248169,0.5087116956710815,0.29847127199172974,0.846062183380127,0.7979665994644165,0.5118640661239624,0.30332639813423157,0.8542078137397766,0.7769083380699158,0.168504998087883,0.16212782263755798,1.039334244712466,good
259,0.9086040139198304,0.5050400495529175,0.2980717122554779,0.8435384035110474,0.7777840495109558,0.5118640661239624,0.30332639813423157,0.8542078137397766,0.7769083380699158,0.1623818427324295,0.16212782263755798,1.0015667890355833,good
258,0.9075755119323731,0.5031850934028625,0.2994341254234314,0.8447583317756653,0.7774505615234375,0.5118640661239624,0.30371779203414917,0.8542078137397766,0.7769083380699158,0.16327762603759766,0.1619938313961029,1.00792496004589,good
260,0.9052942633628845,0.5063892006874084,0.2982254922389984,0.8437464833259583,0.7897794246673584,0.5118640661239624,0.30332639813423157,0.8542078137397766,0.7769083380699158,0.16582930088043213,0.16212782263755798,1.0228306171183765,good
262,0.9044817447662353,0.5104985237121582,0.3015981912612915,0.8461097478866577,0.8050278425216675,0.5118640661239624,0.30332639813423157,0.8542078137397766,0.7769083380699158,0.16895663738250732,0.16212782263755798,1.0421199435966977,good
583,0.8494363188743591,0.29243746399879456,0.1600780040025711,0.7544777989387512,0.8776311874389648,0.2889731228351593,0.13189193606376648,0.7623243927955627,0.8739455342292786,0.33153852820396423,0.351252019405365,0.9438765042980429,good
263,0.8480622291564941,0.5082845687866211,0.3061508536338806,0.8326220512390137,0.8208146095275879,0.5118640661239624,0.30332639813423157,0.8542078137397766,0.7769083380699158,0.16692474484443665,0.16212782263755798,1.0295872856912558,good
85,0.8163237571716309,0.25169816613197327,0.2635142505168915,0.8763729333877563,0.8111899495124817,0.26671984791755676,0.24552416801452637,0.8899296522140503,0.8544756174087524,0.3421192169189453,0.379504531621933,0.9014891481184436,good
582,0.8070773005485534,0.3064654469490051,0.15799492597579956,0.7380168437957764,0.8667332530021667,0.28191906213760376,0.12951360642910004,0.7494325041770935,0.8737291097640991,0.30585700273513794,0.34793075919151306,0.8790743406701323,good
87,0.8048848748207093,0.2680191397666931,0.26487913727760315,0.826702892780304,0.8665976524353027,0.2872920334339142,0.28797945380210876,0.8433186411857605,0.8867011070251465,0.33617037534713745,0.3329051434993744,1.0098082949798857,good
39,0.8032002687454224,0.14224812388420105,0.19301854074001312,0.8822418451309204,0.7696101069450378,0.1704762578010559,0.20127861201763153,0.8187179565429688,0.747570276260376,0.42667409777641296,0.35412901639938354,1.2048549483875497,good
264,0.8026901125907898,0.5052415728569031,0.30940237641334534,0.8233603239059448,0.8310518264770508,0.5118640661239624,0.30332639813423157,0.8542078137397766,0.7769083380699158,0.16594648361206055,0.16212782263755798,1.0235533970195807,good
84,0.7971609950065612,0.23228204250335693,0.2579318881034851,0.8910214304924011,0.8012237548828125,0.24312658607959747,0.23555001616477966,0.895828127861023,0.8567774891853333,0.35788774490356445,0.4054761528968811,0.8826357415761041,good
86,0.7917331457138062,0.25824716687202454,0.26000043749809265,0.8431800603866577,0.8352727890014648,0.28124985098838806,0.2639383375644684,0.868925929069519,0.8685421943664551,0.3364957273006439,0.35531121492385864,0.9470450499930131,good
70,0.786030375957489,0.28164929151535034,0.19287602603435516,0.916755199432373,0.8775278329849243,0.23363187909126282,0.15191805362701416,0.9727943539619446,0.8797949552536011,0.43482640385627747,0.5380192995071411,0.8081985242064834,good
