video,ds_idx,frame_t,iou,gt_area,pred_area,area_ratio,center_err,w_err,h_err,gt_ar,pred_ar,size_cat,err_type,gt_x1,gt_y1,gt_x2,gt_y2,pred_x1,pred_y1,pred_x2,pred_y2
lion_cub_1,2738,0,0.915,0.130244,0.131651,1.011,0.0116,-0.0016,0.0069,0.706,0.692,medium,good,0.2636,0.2686,0.5669,0.698,0.2754,0.2688,0.5771,0.7051
lion_cub_1,2738,1,0.9295,0.131981,0.134901,1.022,0.0094,0.0007,0.0082,0.786,0.772,medium,good,0.2636,0.2765,0.5857,0.6863,0.2705,0.2783,0.5933,0.6963
lion_cub_1,2738,2,0.9227,0.156293,0.145956,0.934,0.011,-0.0156,-0.0105,0.848,0.832,large,good,0.279,0.2784,0.643,0.7078,0.2791,0.2915,0.6274,0.7104
lion_cub_1,2738,3,0.9115,0.144096,0.13829,0.96,0.0133,-0.011,-0.0036,0.826,0.807,medium,good,0.2956,0.3,0.6406,0.7176,0.2969,0.3145,0.6309,0.7285
lion_cub_1,2738,4,0.9124,0.128667,0.140655,1.093,0.0022,0.0031,0.0326,0.828,0.772,medium,good,0.3243,0.3373,0.6507,0.7314,0.3247,0.3218,0.6543,0.7485
lion_cub_1,2739,0,0.9295,0.131981,0.134901,1.022,0.0094,0.0007,0.0082,0.786,0.772,medium,good,0.2636,0.2765,0.5857,0.6863,0.2705,0.2783,0.5933,0.6963
lion_cub_1,2739,1,0.9227,0.156293,0.145956,0.934,0.011,-0.0156,-0.0105,0.848,0.832,large,good,0.279,0.2784,0.643,0.7078,0.2791,0.2915,0.6274,0.7104
lion_cub_1,2739,2,0.9115,0.144096,0.13829,0.96,0.0133,-0.011,-0.0036,0.826,0.807,medium,good,0.2956,0.3,0.6406,0.7176,0.2969,0.3145,0.6309,0.7285
lion_cub_1,2739,3,0.9124,0.128667,0.140655,1.093,0.0022,0.0031,0.0326,0.828,0.772,medium,good,0.3243,0.3373,0.6507,0.7314,0.3247,0.3218,0.6543,0.7485
lion_cub_1,2739,4,0.8982,0.117485,0.126205,1.074,0.0073,0.0036,0.0246,0.727,0.694,medium,good,0.3662,0.3569,0.6585,0.7588,0.3716,0.3455,0.6675,0.772
lion_cub_1,2740,0,0.9227,0.156293,0.145956,0.934,0.011,-0.0156,-0.0105,0.848,0.832,large,good,0.279,0.2784,0.643,0.7078,0.2791,0.2915,0.6274,0.7104
lion_cub_1,2740,1,0.9115,0.144096,0.13829,0.96,0.0133,-0.011,-0.0036,0.826,0.807,medium,good,0.2956,0.3,0.6406,0.7176,0.2969,0.3145,0.6309,0.7285
lion_cub_1,2740,2,0.9124,0.128667,0.140655,1.093,0.0022,0.0031,0.0326,0.828,0.772,medium,good,0.3243,0.3373,0.6507,0.7314,0.3247,0.3218,0.6543,0.7485
lion_cub_1,2740,3,0.8982,0.117485,0.126205,1.074,0.0073,0.0036,0.0246,0.727,0.694,medium,good,0.3662,0.3569,0.6585,0.7588,0.3716,0.3455,0.6675,0.772
lion_cub_1,2740,4,0.9095,0.111929,0.110881,0.991,0.0157,-0.0067,0.008,0.56,0.535,medium,good,0.3893,0.3745,0.6397,0.8216,0.3906,0.355,0.6343,0.8101
lion_cub_1,2741,0,0.9115,0.144096,0.13829,0.96,0.0133,-0.011,-0.0036,0.826,0.807,medium,good,0.2956,0.3,0.6406,0.7176,0.2969,0.3145,0.6309,0.7285
lion_cub_1,2741,1,0.9124,0.128667,0.140655,1.093,0.0022,0.0031,0.0326,0.828,0.772,medium,good,0.3243,0.3373,0.6507,0.7314,0.3247,0.3218,0.6543,0.7485
